CName,CLink,CCity,CFounded,CNation,CLeague,CReputation,CStatus,CBalance,CTransfer_Budget,CTotal_Wages,CRemaining_Wages,CTraining_Facilities,CYouth_Facilities,CYouth_Recruitment,CJunior_Coaching,CBest_XI,CMost_Talented_XI
Royal Antwerp,https://fminside.net/clubs/1-fm-21/262-royal-antwerp,Antwerp,1880,Belgium,Jupiler Pro League,65,Professional,€ 8M,€ 1000K,€ 535K pw,€ 181K pw,70,65,50,70,66,68
Crystal Palace,https://fminside.net/clubs/1-fm-21/642-crystal-palace,London,1905,England,Premier League,65,Professional,€ 39M,€ 24M,€ 2M pw,€ 133K pw,65,60,65,65,72,70
West Ham,https://fminside.net/clubs/1-fm-21/735-west-ham,London,1895,England,Premier League,65,Professional,€ 55M,€ 11M,€ 2M pw,€ 186K pw,70,75,75,60,72,75
Bournemouth,https://fminside.net/clubs/1-fm-21/600-bournemouth,Bournemouth,1899,England,EFL Championship,65,Professional,€ 57M,0,€ 683K pw,€ 32K pw,65,50,50,55,70,78
FC Nantes,https://fminside.net/clubs/1-fm-21/846-fc-nantes,Nantes,1943,France,Ligue 1,65,Professional,€ 20M,€ 5M,€ 422K pw,€ 20K pw,70,75,70,70,68,72
Strasbourg,https://fminside.net/clubs/1-fm-21/872-strasbourg,Strasbourg,1906,France,Ligue 1,65,Professional,€ 15M,€ 5M,€ 323K pw,€ 15K pw,60,70,50,45,67,67
Angers SCO,https://fminside.net/clubs/1-fm-21/875-angers-sco,Angers,1919,France,Ligue 1,65,Professional,€ 7M,€ 3M,€ 384K pw,€ 18K pw,55,70,55,45,67,67
1. FC Nürnberg,https://fminside.net/clubs/1-fm-21/899-1-fc-nurnberg,Nürnberg,1900,Germany,2. Bundesliga,65,Professional,€ 19M,€ 500K,€ 262K pw,€ 37K pw,70,70,50,50,65,65
Fortuna Düsseldorf,https://fminside.net/clubs/1-fm-21/921-fortuna-dusseldorf,Düsseldorf,1895,Germany,2. Bundesliga,65,Professional,€ 28M,0,€ 254K pw,€ 21K pw,60,60,50,50,65,69
Udinese,https://fminside.net/clubs/1-fm-21/1178-udinese,Udine,1896,Italy,Serie A,65,Professional,€ 13M,€ 8M,€ 608K pw,€ 29K pw,70,65,60,55,71,71
Toronto FC,https://fminside.net/clubs/1-fm-21/72000789-toronto-fc,Toronto (ON),2005,United States,MLS,65,,€ 33M,€ 11M,€ 337K pw,€ 27K pw,95,95,80,55,65,61
New York City FC,https://fminside.net/clubs/1-fm-21/72041885-new-york-city-fc,New York (NY),2015,United States,MLS,65,,€ 34M,€ 7M,€ 184K pw,€ 9K pw,95,90,95,60,66,64
LAFC,https://fminside.net/clubs/1-fm-21/72049313-lafc,Los Angeles (CA),2018,United States,MLS,65,,€ 42M,€ 10M,€ 238K pw,€ 11K pw,80,70,100,60,65,68
Granada,https://fminside.net/clubs/1-fm-21/1714-granada,Granada,1931,Spain,LaLiga,65,Professional,€ 6M,€ 1000K,€ 350K pw,€ 19K pw,75,75,65,60,70,73
CD Leganés,https://fminside.net/clubs/1-fm-21/1678-cd-leganes,Leganés,1928,Spain,LaLiga 2,65,Professional,€ 54M,€ 14M,€ 332K pw,€ 32K pw,60,45,50,45,69,64
RCD Mallorca,https://fminside.net/clubs/1-fm-21/1726-rcd-mallorca,Palma de Mallorca,1916,Spain,LaLiga 2,65,Professional,€ 21M,€ 1000K,€ 227K pw,€ 28K pw,60,55,60,65,67,71
Málaga,https://fminside.net/clubs/1-fm-21/2096-malaga,Málaga,1948,Spain,LaLiga 2,65,Professional,€ 4M,0,€ 107K pw,€ 11K pw,75,75,70,75,64,71
Bahia,https://fminside.net/clubs/1-fm-21/315-bahia,Salvador (BA),1931,Brazil,Brazilian Série A,65,Professional,€ 3M,€ 2M,€ 147K pw,€ 14K pw,80,70,70,45,66,67
Cruzeiro,https://fminside.net/clubs/1-fm-21/321-cruzeiro,Belo Horizonte (MG),1921,Brazil,Brazil Série B,65,Professional,€ -2M,0,€ 176K pw,€ 8K pw,85,55,80,60,67,70
Club León,https://fminside.net/clubs/1-fm-21/1259-club-leon,León (MEX),1944,Mexico,Liga MX,65,Professional,€ 13M,€ 6M,€ 245K pw,€ 11K pw,60,50,55,65,68,61
Young Boys,https://fminside.net/clubs/1-fm-21/1847-young-boys,Bern,1895,Switzerland,Raiffeisen Super League,65,Professional,€ 13M,€ 3M,€ 240K pw,€ 25K pw,50,50,85,75,68,72
Zorya,https://fminside.net/clubs/1-fm-21/1902-zorya,Luhansk,1923,Ukraine,FavBet Liha,65,Professional,€ 4M,€ 288K,€ 63K pw,€ 3K pw,50,50,50,65,64,66
Ludogorets Razgrad,https://fminside.net/clubs/1-fm-21/22003969-ludogorets-razgrad,Razgrad,1945,Bulgaria,efbet League,65,,€ 18M,€ 2M,€ 223K pw,€ 49K pw,85,80,100,75,66,66
Rapid Wien,https://fminside.net/clubs/1-fm-21/155-rapid-wien,Vienna,1899,Austria,Tipico Bundesliga,65,Professional,€ 31M,0,€ 256K pw,€ 12K pw,80,60,75,75,64,69
Colo-Colo,https://fminside.net/clubs/1-fm-21/399-colo-colo,Macul,1925,Chile,Campeonato AFP,65,Professional,€ 1M,€ 1M,€ 136K pw,€ 6K pw,80,80,100,75,66,64
Aston Villa,https://fminside.net/clubs/1-fm-21/603-aston-villa,Birmingham,1874,England,Premier League,65,Professional,€ 9M,€ 3M,€ 1M pw,€ 126K pw,95,85,75,55,72,74
Brighton,https://fminside.net/clubs/1-fm-21/618-brighton,Brighton,1901,England,Premier League,65,Professional,€ 6M,€ 11M,€ 1M pw,€ 111K pw,90,90,70,55,72,75
Burnley,https://fminside.net/clubs/1-fm-21/622-burnley,Burnley,1882,England,Premier League,65,Professional,€ 68M,€ 11M,€ 963K pw,€ 92K pw,80,75,60,50,71,64
Leeds Utd,https://fminside.net/clubs/1-fm-21/671-leeds-utd,Leeds,1919,England,Premier League,65,Professional,€ 3M,€ 3M,€ 791K pw,€ 63K pw,90,85,65,70,74,72
Reims,https://fminside.net/clubs/1-fm-21/2047-reims,Reims,1931,France,Ligue 1,65,Professional,€ 11M,€ 5M,€ 247K pw,€ 12K pw,70,80,60,60,68,70
Seattle Sounders,https://fminside.net/clubs/1-fm-21/72014006-seattle-sounders,Seattle (WA),1974,United States,MLS,65,,€ 32M,€ 7M,€ 218K pw,€ 16K pw,75,75,60,55,67,64
Legia Warszawa,https://fminside.net/clubs/1-fm-21/1456-legia-warszawa,Warsaw,1916,Poland,Ekstraklasa,65,Professional,€ 21M,€ 446K,€ 140K pw,€ 11K pw,90,90,100,80,64,66
Red Star,https://fminside.net/clubs/1-fm-21/1955-red-star,Belgrade,1945,Serbia,SuperLiga,65,Professional,€ 18M,€ 3M,€ 167K pw,€ 28K pw,75,80,100,80,67,69
FK Astana,https://fminside.net/clubs/1-fm-21/59041139-fk-astana,Nursultan,2009,Kazakhstan,Priemjer Ligasy,65,,€ 2M,0,0 pw,0 pw,50,55,90,35,62,67
Watford,https://fminside.net/clubs/1-fm-21/732-watford,Watford,1881,England,EFL Championship,64,Professional,€ 49M,0,€ 882K pw,€ -62.9K pw,90,70,75,50,70,74
Vitória de Guimarães,https://fminside.net/clubs/1-fm-21/1494-vitoria-de-guimaraes,Guimarães,1922,Portugal,Liga NOS,64,Professional,€ 4M,€ 1000K,€ 134K pw,€ 25K pw,80,75,75,80,67,72
Real Zaragoza,https://fminside.net/clubs/1-fm-21/1749-real-zaragoza,Zaragoza,1932,Spain,LaLiga 2,64,Professional,€ 8M,€ 1M,€ 169K pw,€ 6K pw,75,75,75,75,67,67
Sparta Prague,https://fminside.net/clubs/1-fm-21/476-sparta-prague,Prague,1893,Czech Republic,Fortuna liga,64,Professional,€ 8M,€ 7M,€ 244K pw,€ 117K pw,85,85,80,85,66,70
Santos Laguna,https://fminside.net/clubs/1-fm-21/106029-santos-laguna,Torreón,1983,Mexico,Liga MX,64,Professional,€ 14M,€ 6M,€ 171K pw,€ 8K pw,75,55,65,50,66,66
Basel,https://fminside.net/clubs/1-fm-21/1849-basel,Basel,1893,Switzerland,Raiffeisen Super League,64,Professional,€ 22M,€ 2M,€ 288K pw,€ 27K pw,85,95,100,85,68,72
Sheffield United,https://fminside.net/clubs/1-fm-21/708-sheffield-united,Sheffield,1889,England,Premier League,64,Professional,€ 18M,€ 1M,€ 631K pw,€ 56K pw,80,65,70,60,71,74
Dijon FCO,https://fminside.net/clubs/1-fm-21/839-dijon-fco,Dijon,1998,France,Ligue 1,64,Professional,€ 15M,€ 3M,€ 265K pw,€ 12K pw,55,55,50,45,66,69
Nîmes Olympique,https://fminside.net/clubs/1-fm-21/860-nimes-olympique,Nîmes,1937,France,Ligue 1,64,Professional,€ 12M,€ 2M,€ 244K pw,€ 11K pw,65,75,60,55,67,69
Vitesse,https://fminside.net/clubs/1-fm-21/1046-vitesse,Arnhem,1892,Netherlands,Eredivisie,64,Professional,€ 27M,€ 5M,€ 106K pw,€ 5K pw,90,85,70,70,65,67
Hellas Verona,https://fminside.net/clubs/1-fm-21/2201-hellas-verona,Verona,1903,Italy,Serie A,64,Professional,€ 13M,€ 9M,€ 641K pw,€ 40K pw,65,60,50,60,70,72
Real Sporting,https://fminside.net/clubs/1-fm-21/1744-real-sporting,Gijón,1905,Spain,LaLiga 2,64,Professional,€ 7M,€ 1M,€ 126K pw,€ -8.4K pw,85,85,75,75,65,70
Dynamo Moscow,https://fminside.net/clubs/1-fm-21/1520-dynamo-moscow,Moscow,1923,Russia,Russian Premier League,64,Professional,€ 8M,€ 25M,€ 617K pw,€ 174K pw,80,65,70,70,64,66
FK Partizan,https://fminside.net/clubs/1-fm-21/1952-fk-partizan,Belgrade,1945,Serbia,SuperLiga,64,Professional,€ 16M,€ 2M,€ 117K pw,€ 26K pw,80,80,100,80,64,67
Sturm Graz,https://fminside.net/clubs/1-fm-21/156-sturm-graz,Graz,1909,Austria,Tipico Bundesliga,64,Professional,€ 18M,€ 1M,€ 123K pw,€ 7K pw,75,80,75,85,61,62
Ferencvárosi TC,https://fminside.net/clubs/1-fm-21/1055-ferencvarosi-tc,Budapest,1899,Hungary,OTP Bank Liga,64,Professional,€ 3M,€ 2M,€ 101K pw,€ 5K pw,60,60,95,45,65,62
Austria Wien,https://fminside.net/clubs/1-fm-21/152-austria-wien,Vienna,1911,Austria,Tipico Bundesliga,64,Professional,€ 25M,€ 500K,€ 181K pw,€ 8K pw,85,85,90,90,62,65
Atlético Nacional,https://fminside.net/clubs/1-fm-21/427-atletico-nacional,Medellín,1947,Colombia,Liga Aguila,64,Professional,€ 15M,€ 3M,€ 120K pw,€ 6K pw,70,70,80,70,67,66
Universidad de Chile,https://fminside.net/clubs/1-fm-21/404-universidad-de-chile,Ñuñoa,1927,Chile,Campeonato AFP,64,Professional,€ -1M,€ 850K,€ 86K pw,€ 4K pw,85,85,95,70,64,65
New York Red Bulls,https://fminside.net/clubs/1-fm-21/72000160-new-york-red-bulls,Harrison (NJ),1996,United States,MLS,63,,€ 24M,€ 3M,€ 138K pw,€ 11K pw,70,80,85,65,62,64
Cádiz CF,https://fminside.net/clubs/1-fm-21/1682-cadiz-cf,Cádiz,1910,Spain,LaLiga,63,Professional,€ 3M,€ 8M,€ 202K pw,€ 12K pw,75,75,70,60,67,67
CD Tenerife,https://fminside.net/clubs/1-fm-21/1680-cd-tenerife,Santa Cruz de Tenerife,1922,Spain,LaLiga 2,63,Professional,€ 5M,€ 1000K,€ 150K pw,€ 5K pw,65,60,60,60,65,67
Rayo Vallecano,https://fminside.net/clubs/1-fm-21/1729-rayo-vallecano,Madrid,1924,Spain,LaLiga 2,63,Professional,€ 2M,0,€ 188K pw,€ 6K pw,60,60,65,65,67,69
Girona FC,https://fminside.net/clubs/1-fm-21/814089-girona-fc,Girona,1930,Spain,LaLiga 2,63,Professional,€ 6M,€ 632K,€ 274K pw,€ 11K pw,65,30,40,35,68,64
Lanús,https://fminside.net/clubs/1-fm-21/90-lanus,Lanús (BA),1915,Argentina,Superliga Argentina,63,Professional,€ 1M,€ 850K,€ 119K pw,€ 6K pw,70,75,75,70,66,71
Wolfsberger AC,https://fminside.net/clubs/1-fm-21/16034828-wolfsberger-ac,Wolfsberg,1931,Austria,Tipico Bundesliga,63,,€ 9M,€ 500K,€ 98K pw,€ 5K pw,60,60,75,60,59,61
Estudiantes (LP),https://fminside.net/clubs/1-fm-21/85-estudiantes-lp,La Plata (BA),1905,Argentina,Superliga Argentina,63,Professional,€ 7M,€ 3M,€ 146K pw,€ 7K pw,75,75,70,65,67,69
Jeonbuk Hyundai Motors,https://fminside.net/clubs/1-fm-21/130776-jeonbuk-hyundai-motors,Jeonju,1994,South Korea,K League Classic,63,Professional,€ 13M,€ 13M,€ 146K pw,€ 19K pw,85,70,75,70,65,60
Charleroi SC,https://fminside.net/clubs/1-fm-21/263-charleroi-sc,Charleroi,1904,Belgium,Jupiler Pro League,63,Professional,€ 48M,0,€ 435K pw,€ 259K pw,70,75,70,70,64,66
FC Midtjylland,https://fminside.net/clubs/1-fm-21/526-fc-midtjylland,Herning,1999,Denmark,3F Superliga,63,Professional,€ 20M,€ 4M,€ 218K pw,€ 42K pw,70,75,100,80,68,72
Norwich,https://fminside.net/clubs/1-fm-21/691-norwich,Norwich,1902,England,EFL Championship,63,Professional,€ 45M,€ 16M,€ 548K pw,€ 36K pw,75,80,65,65,70,73
FC Metz,https://fminside.net/clubs/1-fm-21/844-fc-metz,Metz,1919,France,Ligue 1,63,Professional,€ 18M,€ 3M,€ 259K pw,€ 12K pw,60,80,60,55,65,67
Stade Brestois 29,https://fminside.net/clubs/1-fm-21/2061-stade-brestois-29,Brest,1950,France,Ligue 1,63,Professional,€ 4M,€ 2M,€ 204K pw,€ 10K pw,60,60,50,45,66,70
Arminia Bielefeld,https://fminside.net/clubs/1-fm-21/904-arminia-bielefeld,Bielefeld,1905,Germany,Bundesliga,63,Professional,€ 5M,0,€ 166K pw,€ 12K pw,65,60,50,40,64,68
Atlanta United,https://fminside.net/clubs/1-fm-21/72047296-atlanta-united,Atlanta (GA),2014,United States,MLS,63,,€ 41M,€ 16M,€ 1M pw,€ 1M pw,90,70,70,55,66,69
Elche,https://fminside.net/clubs/1-fm-21/1707-elche,Elche,1923,Spain,LaLiga,63,Professional,€ 690K,€ 6M,€ 254K pw,€ 15K pw,75,75,55,60,68,64
SD Huesca,https://fminside.net/clubs/1-fm-21/4212294-sd-huesca,Huesca,1960,Spain,LaLiga,63,,€ 1M,€ 2M,€ 499K pw,€ 177K pw,40,40,65,50,70,69
Real Oviedo,https://fminside.net/clubs/1-fm-21/1741-real-oviedo,Oviedo,1926,Spain,LaLiga 2,63,Professional,€ 3M,€ 305K,€ 123K pw,€ 2K pw,75,65,65,70,63,67
UD Las Palmas,https://fminside.net/clubs/1-fm-21/1772-ud-las-palmas,Las Palmas de Gran Canaria,1949,Spain,LaLiga 2,63,Professional,€ 7M,€ 717K,€ 141K pw,€ 4K pw,65,65,55,75,64,68
Atlas Guadalajara,https://fminside.net/clubs/1-fm-21/106027-atlas-guadalajara,Guadalajara,1916,Mexico,Liga MX,63,Professional,€ 12M,€ 5M,€ 155K pw,€ 7K pw,85,70,90,65,67,65
Universidad Católica,https://fminside.net/clubs/1-fm-21/403-universidad-catolica,Las Condes,1937,Chile,Campeonato AFP,63,Professional,€ 6M,€ 510K,€ 107K pw,€ 5K pw,80,80,90,80,67,64
ES Tunis,https://fminside.net/clubs/1-fm-21/106858-es-tunis,Tunis,1919,Tunisia,CLP-1,63,Professional,€ 1M,0,0 pw,0 pw,70,60,70,50,62,67
Qarabağ FK,https://fminside.net/clubs/1-fm-21/127787-qaraba-fk,Baku,1951,Azerbaijan,Topaz Premyer Liqası,63,Professional,0,0,0 pw,0 pw,5,15,50,30,65,68
Fulham,https://fminside.net/clubs/1-fm-21/654-fulham,London,1879,England,Premier League,62,Professional,€ 3M,€ 5M,€ 1M pw,€ 89K pw,80,65,80,75,73,77
West Brom,https://fminside.net/clubs/1-fm-21/734-west-brom,West Bromwich,1878,England,Premier League,62,Professional,€ 3M,€ 1M,€ 688K pw,€ 74K pw,75,75,75,70,69,70
RC Lens,https://fminside.net/clubs/1-fm-21/871-rc-lens,Lens,1906,France,Ligue 1,62,Professional,€ 57M,€ 3M,€ 202K pw,€ 9K pw,80,80,65,70,66,69
FC Lorient,https://fminside.net/clubs/1-fm-21/2005-fc-lorient,Lorient,1926,France,Ligue 1,62,Professional,€ 13M,€ 2M,€ 233K pw,€ 11K pw,75,75,55,60,65,70
Willem II,https://fminside.net/clubs/1-fm-21/1047-willem-ii,Tilburg,1896,Netherlands,Eredivisie,62,Professional,€ 13M,€ 1M,€ 63K pw,€ 3K pw,60,70,70,60,61,64
Panathinaikos,https://fminside.net/clubs/1-fm-21/983-panathinaikos,Athens,1908,Greece,Super League 1,62,Professional,€ 1M,€ 200K,€ 193K pw,€ 15K pw,65,60,70,75,64,63
Arsenal Tula,https://fminside.net/clubs/1-fm-21/130501-arsenal-tula,Tula,1984,Russia,Russian Premier League,62,Professional,€ 7M,€ 1000K,€ 262K pw,€ 21K pw,55,35,10,20,62,60
Vélez,https://fminside.net/clubs/1-fm-21/98-velez,Ciudad de Buenos Aires,1910,Argentina,Superliga Argentina,62,Professional,€ 24M,0,€ 172K pw,€ 8K pw,80,85,95,75,68,71
Alianza Lima,https://fminside.net/clubs/1-fm-21/117754-alianza-lima,Lima,1901,Peru,Liga 1,62,Professional,€ 5M,€ 85K,€ 45K pw,€ 2K pw,65,60,75,65,62,63
sc Heerenveen,https://fminside.net/clubs/1-fm-21/1036-sc-heerenveen,Heerenveen,1920,Netherlands,Eredivisie,62,Professional,€ 19M,€ 2M,€ 62K pw,€ 3K pw,70,70,75,75,63,69
Benevento,https://fminside.net/clubs/1-fm-21/2188-benevento,Benevento,1929,Italy,Serie A,62,Professional,€ 6M,€ 3M,€ 660K pw,€ 31K pw,60,50,50,60,69,62
Crotone,https://fminside.net/clubs/1-fm-21/707654-crotone,Crotone,1923,Italy,Serie A,62,Professional,€ 5M,€ 3M,€ 385K pw,€ 18K pw,65,55,55,60,67,66
Portland Timbers,https://fminside.net/clubs/1-fm-21/975489-portland-timbers,Portland (OR),1975,United States,MLS,62,Professional,€ 18M,€ 2M,€ 191K pw,€ 11K pw,70,70,45,45,65,64
Rio Ave,https://fminside.net/clubs/1-fm-21/2383-rio-ave,Vila do Conde,1939,Portugal,Liga NOS,62,Professional,€ 1M,€ 650K,€ 83K pw,€ 9K pw,60,60,65,70,67,69
Newell's Old Boys,https://fminside.net/clubs/1-fm-21/91-newells-old-boys,Rosario (SF),1903,Argentina,Superliga Argentina,62,Professional,€ -656.1K,0,€ 157K pw,€ 7K pw,70,75,80,70,67,69
Rosario Central,https://fminside.net/clubs/1-fm-21/95-rosario-central,Rosario (SF),1889,Argentina,Superliga Argentina,62,Professional,€ 871K,€ 212K,€ 88K pw,€ 4K pw,65,65,80,65,63,65
İstanbul Başakşehir,https://fminside.net/clubs/1-fm-21/130343-stanbul-baakehir,İstanbul,1990,Turkey,Turkish SüperLig,62,Professional,€ 1M,€ 113K,€ 609K pw,€ 29K pw,70,70,15,50,71,69
TSV Hartberg,https://fminside.net/clubs/1-fm-21/137959-tsv-hartberg,Hartberg,1946,Austria,Tipico Bundesliga,62,Professional,€ 6M,€ 250K,€ 92K pw,€ 4K pw,70,55,55,55,60,56
St. Gallen,https://fminside.net/clubs/1-fm-21/1853-st-gallen,St. Gallen,1879,Switzerland,Raiffeisen Super League,62,Professional,€ 7M,€ 185K,€ 116K pw,€ 11K pw,55,55,65,70,63,68
Nacional,https://fminside.net/clubs/1-fm-21/1921-nacional,Montevideo,1899,Uruguay,Torneo Uruguayo Copa,62,Professional,€ 3M,€ 64K,€ 98K pw,€ 7K pw,50,70,100,85,65,68
Goiás,https://fminside.net/clubs/1-fm-21/102555-goias,Goiânia (GO),1943,Brazil,Brazilian Série A,62,Professional,€ 653K,€ 379K,€ 128K pw,€ 6K pw,60,55,65,40,66,66
Ulsan Hyundai,https://fminside.net/clubs/1-fm-21/106808-ulsan-hyundai,Ulsan,1983,South Korea,K League Classic,62,Professional,€ 12M,€ 10M,€ 108K pw,€ 18K pw,80,80,100,85,62,58
América de Cali,https://fminside.net/clubs/1-fm-21/417-america-de-cali,Cali,1927,Colombia,Liga Aguila,62,Professional,€ 8M,€ 637K,€ 104K pw,€ 5K pw,60,70,80,70,67,67
Brøndby IF,https://fminside.net/clubs/1-fm-21/496-brndby-if,Brøndby,1964,Denmark,3F Superliga,61,Professional,€ 5M,€ 1M,€ 122K pw,€ 12K pw,75,65,85,75,63,64
VfL Bochum,https://fminside.net/clubs/1-fm-21/905-vfl-bochum,Bochum,1938,Germany,2. Bundesliga,61,Professional,€ 9M,0,€ 192K pw,€ 17K pw,65,70,55,55,65,65
FC St Pauli,https://fminside.net/clubs/1-fm-21/946-fc-st-pauli,Hamburg,1910,Germany,2. Bundesliga,61,Professional,€ 19M,€ 800K,€ 190K pw,€ 23K pw,60,60,40,45,63,63
FC Groningen,https://fminside.net/clubs/1-fm-21/1007-fc-groningen,Groningen,1971,Netherlands,Eredivisie,61,Professional,€ 20M,€ 3M,€ 83K pw,€ 4K pw,80,75,75,80,63,66
DC United,https://fminside.net/clubs/1-fm-21/1913-dc-united,Washington (DC),1996,United States,MLS,61,Professional,€ 11M,€ 2M,€ 139K pw,€ 8K pw,75,85,70,60,64,62
Sporting Kansas City,https://fminside.net/clubs/1-fm-21/72023746-sporting-kansas-city,Kansas City (KS),1996,United States,MLS,61,,€ 17M,€ 5M,€ 227K pw,€ 11K pw,90,90,70,60,66,62
Almería,https://fminside.net/clubs/1-fm-21/1661-almeria,Almería,1989,Spain,LaLiga 2,61,Professional,€ 5M,€ 2M,€ 230K pw,€ 33K pw,70,40,65,40,67,72
Bragantino,https://fminside.net/clubs/1-fm-21/317-bragantino,Bragança Paulista (SP),1928,Brazil,Brazilian Série A,61,Professional,€ 5M,€ 3M,€ 138K pw,€ 6K pw,55,50,50,45,66,72
Lech Poznań,https://fminside.net/clubs/1-fm-21/1455-lech-pozna,Poznań,1922,Poland,Ekstraklasa,61,Professional,€ 13M,€ 446K,€ 81K pw,€ 8K pw,70,70,100,80,62,66
Xolos Tijuana,https://fminside.net/clubs/1-fm-21/136021-xolos-tijuana,Tijuana,2007,Mexico,Liga MX,61,Professional,€ 13M,€ 5M,€ 104K pw,€ 5K pw,55,50,65,45,64,69
Independiente Santa Fe,https://fminside.net/clubs/1-fm-21/423-independiente-santa-fe,Bogotá,1941,Colombia,Liga Aguila,61,Professional,€ 5M,€ 680K,€ 77K pw,€ 4K pw,70,70,75,75,66,63
Sporting Cristal,https://fminside.net/clubs/1-fm-21/1449-sporting-cristal,Lima,1955,Peru,Liga 1,61,Professional,€ 3M,€ 510K,€ 44K pw,€ 2K pw,70,65,75,65,62,65
CFR Cluj,https://fminside.net/clubs/1-fm-21/7540205-cfr-cluj,Cluj Napoca,1907,Romania,Liga I,61,,€ 199K,€ 250K,€ 140K pw,€ 17K pw,70,60,90,65,65,56
Slovan Bratislava,https://fminside.net/clubs/1-fm-21/1622-slovan-bratislava,Bratislava,1919,Slovakia,Fortuna Liga,61,Professional,€ 501K,€ 1000K,€ 44K pw,€ 2K pw,65,60,90,65,63,63
Al-Ahly,https://fminside.net/clubs/1-fm-21/106756-al-ahly,Cairo,1907,Egypt,Premier League,61,Professional,€ 1M,0,0 pw,0 pw,75,65,75,50,62,66
Olimpia,https://fminside.net/clubs/1-fm-21/102924-olimpia,Asunción,1902,Paraguay,Primera División,61,Professional,€ 9M,0,0 pw,0 pw,75,80,75,75,66,63
Junior FC,https://fminside.net/clubs/1-fm-21/419-junior-fc,Barranquilla,1924,Colombia,Liga Aguila,61,Professional,€ 10M,€ 2M,€ 138K pw,€ 6K pw,65,65,75,70,66,65
Amiens SC,https://fminside.net/clubs/1-fm-21/831-amiens-sc,Amiens,1901,France,Ligue 2,61,Professional,€ 15M,€ 2M,€ 130K pw,€ 6K pw,55,60,50,45,64,66
Toulouse FC,https://fminside.net/clubs/1-fm-21/886-toulouse-fc,Toulouse,1970,France,Ligue 2,61,Professional,€ 12M,€ 2M,€ 192K pw,€ 9K pw,75,75,70,75,62,68
Brescia,https://fminside.net/clubs/1-fm-21/1113-brescia,Brescia,1911,Italy,Serie B,61,Professional,€ 11M,€ 3M,€ 231K pw,€ 11K pw,75,70,70,70,65,68
Chievo Verona,https://fminside.net/clubs/1-fm-21/1122-chievo-verona,Verona,1929,Italy,Serie B,61,Professional,€ 5M,€ 1M,€ 221K pw,€ 10K pw,75,70,60,60,63,65
SPAL,https://fminside.net/clubs/1-fm-21/2220-spal,Ferrara,1907,Italy,Serie B,61,Professional,€ 10M,€ 2M,€ 364K pw,€ 17K pw,45,55,45,60,65,70
CS Marítimo,https://fminside.net/clubs/1-fm-21/1476-cs-maritimo,Funchal,1910,Portugal,Liga NOS,61,Professional,€ 2M,€ 800K,€ 70K pw,€ 5K pw,65,65,65,60,65,66
Fortaleza,https://fminside.net/clubs/1-fm-21/104750-fortaleza,Fortaleza (CE),1918,Brazil,Brazilian Série A,61,Professional,€ 512K,€ 76K,€ 98K pw,€ 5K pw,60,45,60,35,66,62
Rheindorf Altach,https://fminside.net/clubs/1-fm-21/137973-rheindorf-altach,Altach,1929,Austria,Tipico Bundesliga,61,Professional,€ 6M,€ 300K,€ 79K pw,€ 4K pw,75,75,65,65,59,63
Peñarol,https://fminside.net/clubs/1-fm-21/1922-penarol,Montevideo,1891,Uruguay,Torneo Uruguayo Copa,61,Professional,€ 4M,€ 30K,€ 131K pw,€ 8K pw,55,80,70,75,63,63
CSKA-Sofia,https://fminside.net/clubs/1-fm-21/22069955-cska-sofia,Sofia,1948,Bulgaria,efbet League,61,,€ 4M,€ 637K,€ 91K pw,€ 14K pw,70,65,100,75,62,64
Videoton FC,https://fminside.net/clubs/1-fm-21/1062-videoton-fc,Székesfehérvár,1941,Hungary,OTP Bank Liga,61,Professional,€ 6M,€ 2M,€ 83K pw,€ 4K pw,65,50,35,35,63,62
FCSB,https://fminside.net/clubs/1-fm-21/1513-fcsb,Bucharest,2003,Romania,Liga I,61,Professional,€ 2M,€ 250K,€ 93K pw,€ 10K pw,75,75,95,70,63,64
Universitario de Deportes,https://fminside.net/clubs/1-fm-21/1450-universitario-de-deportes,Lima,1924,Peru,Liga 1,61,Professional,€ 3M,€ 68K,€ 40K pw,€ 2K pw,75,75,60,60,63,59
